899328810,01/07:21:33,16,53842140
899328870,01/07:21:34,140,57041326
899328930,01/07:21:35,16,68101790
899328990,01/07:21:36,230,50443738
899329050,01/07:21:37,10,44573662
899329110,01/07:21:38,89,51344041
899329170,01/07:21:39,5,53722313
899329230,01/07:21:40,84,45591954
899329290,01/07:21:41,23,48602216
899329350,01/07:21:42,56,49273793
899329410,01/07:21:43,140,52487800
899329470,01/07:21:44,214,47090005
899329530,01/07:21:45,46,44690637
899329590,01/07:21:46,45,48430825
899329650,01/07:21:47,13,40517055
899329710,01/07:21:48,18,45800691
899329770,01/07:21:49,58,46583234
899329830,01/07:21:50,185,48224365
899329890,01/07:21:51,114,53439801
899329950,01/07:21:52,124,47694137
899330010,01/07:21:53,115,49556643
899330070,01/07:21:54,67,43124511
899330130,01/07:21:55,193,51535197
899330190,01/07:21:56,158,56426271
899330250,01/07:21:57,11,53550889
899330310,01/07:21:58,229,46976310
899330370,01/07:21:59,234,49491681
