899577902,04/07:18:45,217,47884710
899577962,04/07:18:46,143,54642534
899578022,04/07:18:47,129,45953134
899578082,04/07:18:48,192,39647585
899578142,04/07:18:49,235,44281841
899578202,04/07:18:50,197,45458912
899578262,04/07:18:51,195,45023264
899578322,04/07:18:52,55,45440574
899578382,04/07:18:53,59,54254601
899578442,04/07:18:54,206,48373547
899578502,04/07:18:55,21,48825077
899578562,04/07:18:56,4,50636300
899578622,04/07:18:57,232,45466503
899578682,04/07:18:58,25,47645419
899578742,04/07:18:59,27,43280369
899578802,04/07:19:00,213,48535892
899578862,04/07:19:01,178,47022416
899578922,04/07:19:02,8,46237177
899578982,04/07:19:03,100,53384022
899579042,04/07:19:04,159,51641616
899579102,04/07:19:05,212,46757130
899579162,04/07:19:06,45,44627735
899579222,04/07:19:07,86,47294769
899579282,04/07:19:08,34,44486351
899579342,04/07:19:09,80,49423744
899579402,04/07:19:10,146,45821452
899579462,04/07:19:11,3,47461490
899579522,04/07:19:12,209,42461041
899579582,04/07:19:13,86,51589764
899579642,04/07:19:14,50,46988916
899579702,04/07:19:15,95,49619637
899579762,04/07:19:16,164,47063409
899579822,04/07:19:17,20,46420881
899579882,04/07:19:18,112,46822443
899579942,04/07:19:19,103,48779542
899580002,04/07:19:20,37,55511761
899580062,04/07:19:21,20,48949590
899580122,04/07:19:22,173,58090094
899580182,04/07:19:23,116,48855494
899580242,04/07:19:24,191,48449537
899580302,04/07:19:25,59,51706103
899580362,04/07:19:26,158,47908254
899580422,04/07:19:27,144,48237601
899580482,04/07:19:28,229,48730498
899580542,04/07:19:29,47,50653360
899580602,04/07:19:30,9,52173506
899580662,04/07:19:31,234,50951283
899580722,04/07:19:32,174,49929958
899580782,04/07:19:33,124,52517664
899580842,04/07:19:34,202,53298752
899580902,04/07:19:35,232,53556254
899580962,04/07:19:36,199,50961052
899581022,04/07:19:37,135,55775588
899581082,04/07:19:38,193,48700586
899581142,04/07:19:39,24,51161826
899581202,04/07:19:40,148,50134223
899581262,04/07:19:41,112,49796345
899581322,04/07:19:42,193,56424220
899581382,04/07:19:43,104,54226990
899581442,04/07:19:44,177,54709781
899581502,04/07:19:45,127,52690501
899581562,04/07:19:46,191,61701613
899581622,04/07:19:47,6,56967357
899581682,04/07:19:48,76,53358770
899581742,04/07:19:49,143,57429314
899581802,04/07:19:50,68,66871049
899581862,04/07:19:51,212,60581786
899581922,04/07:19:52,171,70505743
899581982,04/07:19:53,145,63623621
899582042,04/07:19:54,49,63203041
899582102,04/07:19:55,101,57069349
899582162,04/07:19:56,87,63752247
899582222,04/07:19:57,188,60114104
899582282,04/07:19:58,196,63062521
899582342,04/07:19:59,122,57611922
899582402,04/07:20:00,131,63159432
899582462,04/07:20:01,253,64497809
899582522,04/07:20:02,194,66715826
899582582,04/07:20:03,131,62695005
899582642,04/07:20:04,15,63217208
899582702,04/07:20:05,37,56550989
899582762,04/07:20:06,172,62858208
899582822,04/07:20:07,176,59327010
899582882,04/07:20:08,122,70645749
899582942,04/07:20:09,143,68093395
899583002,04/07:20:10,52,64965506
899583062,04/07:20:11,182,57824478
899583122,04/07:20:12,181,56333412
899583182,04/07:20:13,97,56298010
899583242,04/07:20:14,15,52998165
899583302,04/07:20:15,229,57593350
899583362,04/07:20:16,75,58345375
899583422,04/07:20:17,168,59497556
899583482,04/07:20:18,20,56037382
899583542,04/07:20:19,107,59475859
899583602,04/07:20:20,54,66294193
