899925186,08/07:19:13,66,153707846
899925246,08/07:19:14,136,167568721
899925306,08/07:19:15,135,166357531
899925366,08/07:19:16,90,185205399
899925426,08/07:19:17,118,164425557
899925486,08/07:19:18,93,173255191
899925546,08/07:19:19,231,176876527
899925606,08/07:19:20,6,175914365
899925666,08/07:19:21,76,182881635
899925726,08/07:19:22,254,181646964
899925786,08/07:19:23,163,184974357
899925846,08/07:19:24,124,187346146
899925906,08/07:19:25,29,193524473
899925966,08/07:19:26,185,201647984
899926026,08/07:19:27,74,202163807
899926086,08/07:19:28,9,202885775
899926146,08/07:19:29,10,213720155
899926206,08/07:19:30,83,209178324
899926266,08/07:19:31,6,211085708
899926326,08/07:19:32,2,219158471
899926386,08/07:19:33,205,232290538
899926446,08/07:19:34,81,225476502
899926506,08/07:19:35,206,233879629
899926566,08/07:19:36,27,236865908
899926626,08/07:19:37,3,244733184
899926686,08/07:19:38,109,244442068
899926746,08/07:19:39,226,250586202
899926806,08/07:19:40,76,246823671
899926866,08/07:19:41,214,245679132
899926926,08/07:19:42,179,265562499
899926986,08/07:19:43,253,259238856
899927046,08/07:19:44,212,257402383
899927106,08/07:19:45,161,258976457
899927166,08/07:19:46,101,273215443
899927226,08/07:19:47,20,261702126
899927286,08/07:19:48,50,272635852
899927346,08/07:19:49,164,275148760
899927406,08/07:19:50,60,285234471
899927466,08/07:19:51,49,283320624
899927526,08/07:19:52,224,290165222
899927586,08/07:19:53,201,291001723
899927646,08/07:19:54,108,285031423
899927706,08/07:19:55,55,288387940
899927766,08/07:19:56,234,275619174
899927826,08/07:19:57,74,289520707
899927886,08/07:19:58,95,272756975
899927946,08/07:19:59,67,274397725
899928006,08/07:20:00,38,280622561
899928066,08/07:20:01,75,286621028
899928126,08/07:20:02,11,285974231
899928186,08/07:20:03,4,281810612
899928246,08/07:20:04,38,297784694
899928306,08/07:20:05,240,304532297
899928366,08/07:20:06,240,309274070
899928426,08/07:20:07,235,321479737
899928486,08/07:20:08,146,318600212
899928546,08/07:20:09,23,325835066
899928606,08/07:20:10,193,321465057
899928666,08/07:20:11,225,331747058
899928726,08/07:20:12,159,325200573
