900540061,15/07:22:01,240,26452724
900540121,15/07:22:02,131,16952259
900540181,15/07:22:03,65,15132915
900540241,15/07:22:04,247,14148841
900540301,15/07:22:05,164,14169538
900540361,15/07:22:06,214,15087044
900540421,15/07:22:07,84,14996142
900540481,15/07:22:08,196,18060659
900540541,15/07:22:09,216,16782113
900540601,15/07:22:10,47,14153903
900540661,15/07:22:11,115,16046874
900540721,15/07:22:12,246,13141968
900540781,15/07:22:13,199,22904996
900540841,15/07:22:14,99,14869293
900540901,15/07:22:15,218,19331508
900540961,15/07:22:16,154,16336612
900541021,15/07:22:17,179,20909868
900541081,15/07:22:18,88,19949461
900541141,15/07:22:19,228,15289331
900541201,15/07:22:20,251,16669126
900541261,15/07:22:21,62,16253623
900541321,15/07:22:22,126,17911174
900541381,15/07:22:23,171,20170833
900541441,15/07:22:24,225,14477863
900541501,15/07:22:25,39,31431767
900541561,15/07:22:26,222,17112772
900541621,15/07:22:27,159,17040419
900541681,15/07:22:28,64,17689402
900541741,15/07:22:29,101,16498076
900541801,15/07:22:30,130,17090901
900541861,15/07:22:31,136,23897507
900541921,15/07:22:32,117,25247126
900541981,15/07:22:33,133,13524384
900542041,15/07:22:34,231,12378665
900542101,15/07:22:35,17,14197259
900542161,15/07:22:36,213,13603329
900542221,15/07:22:37,54,14806784
900542281,15/07:22:38,158,18593643
900542341,15/07:22:39,170,21818649
900542401,15/07:22:40,141,16175676
900542461,15/07:22:41,101,18678648
900542521,15/07:22:42,33,19753876
900542581,15/07:22:43,56,25963835
900542641,15/07:22:44,225,16170277
900542701,15/07:22:45,109,14147023
900542761,15/07:22:46,192,18483142
900542821,15/07:22:47,154,15298986
900542881,15/07:22:48,163,14887093
900542941,15/07:22:49,118,11751547
900543001,15/07:22:50,147,13142883
900543061,15/07:22:51,81,14814187
900543121,15/07:22:52,0,16373361
900543181,15/07:22:53,45,25104216
900543241,15/07:22:54,37,28781394
900543301,15/07:22:55,41,18737411
900543361,15/07:22:56,91,21599355
900543421,15/07:22:57,68,19981799
900543481,15/07:22:58,13,17355643
900543541,15/07:22:59,149,14678062
900543601,15/07:23:00,254,21425370
900543661,15/07:23:01,253,14589870
900543721,15/07:23:02,239,14188138
900543781,15/07:23:03,80,17104647
900543841,15/07:23:04,73,13015828
900543901,15/07:23:05,16,15205171
900543961,15/07:23:06,243,16236087
