899258314,01/07:01:58,36,65530997
899258374,01/07:01:59,119,67366339
899258434,01/07:02:00,28,74507102
899258494,01/07:02:01,65,65870020
899258554,01/07:02:02,227,74112901
899258614,01/07:02:03,70,74563013
899258674,01/07:02:04,190,73898798
899258734,01/07:02:05,66,69434176
899258794,01/07:02:06,207,69048260
899258854,01/07:02:07,24,77302936
899258914,01/07:02:08,106,64710128
899258974,01/07:02:09,4,59076511
899259034,01/07:02:10,34,64172031
899259094,01/07:02:11,56,64494409
899259154,01/07:02:12,97,76833091
899259214,01/07:02:13,246,69978492
899259274,01/07:02:14,203,71095470
899259334,01/07:02:15,173,70684228
899259394,01/07:02:16,193,71428040
899259454,01/07:02:17,55,66460671
899259514,01/07:02:18,56,61157235
899259574,01/07:02:19,33,62562319
899259634,01/07:02:20,79,70392814
899259694,01/07:02:21,149,73965058
899259754,01/07:02:22,62,64908036
899259814,01/07:02:23,156,63170939
899259874,01/07:02:24,232,70835033
899259934,01/07:02:25,171,64994437
899259994,01/07:02:26,251,66159199
899260054,01/07:02:27,125,72860384
899260114,01/07:02:28,3,64993678
899260174,01/07:02:29,108,64883972
899260234,01/07:02:30,221,64610392
899260294,01/07:02:31,209,70104102
899260354,01/07:02:32,34,82405220
899260414,01/07:02:33,37,68378666
899260474,01/07:02:34,74,61873746
899260534,01/07:02:35,128,63392501
899260594,01/07:02:36,161,70538637
899260654,01/07:02:37,70,74323603
899260714,01/07:02:38,154,67313484
899260774,01/07:02:39,82,67215456
899260834,01/07:02:40,166,63972821
899260894,01/07:02:41,1,68726653
899260954,01/07:02:42,215,62993179
899261014,01/07:02:43,151,61229946
899261074,01/07:02:44,78,69469668
899261134,01/07:02:45,165,68758766
899261194,01/07:02:46,102,70922694
899261254,01/07:02:47,234,74147385
899261314,01/07:02:48,29,72939381
899261374,01/07:02:49,145,62569996
899261434,01/07:02:50,187,62920875
899261494,01/07:02:51,234,62259333
899261554,01/07:02:52,68,70768362
899261614,01/07:02:53,127,68632775
899261674,01/07:02:54,17,63275164
899261734,01/07:02:55,10,55306561
899261794,01/07:02:56,121,67814389
