899589661,04/07:22:01,211,54596084
899589721,04/07:22:02,220,55787535
899589781,04/07:22:03,91,60154010
899589841,04/07:22:04,146,56536950
899589901,04/07:22:05,11,51644763
899589961,04/07:22:06,178,50596693
899590021,04/07:22:07,125,47222643
899590081,04/07:22:08,238,50138592
899590141,04/07:22:09,16,47029265
899590201,04/07:22:10,228,48394176
899590261,04/07:22:11,237,49918849
899590321,04/07:22:12,253,53384620
899590381,04/07:22:13,38,50415285
899590441,04/07:22:14,188,48221236
899590501,04/07:22:15,227,49834348
899590561,04/07:22:16,76,50389337
899590621,04/07:22:17,113,49770561
899590681,04/07:22:18,89,51646798
899590741,04/07:22:19,165,47850844
899590801,04/07:22:20,89,44416843
899590861,04/07:22:21,207,49090756
899590921,04/07:22:22,111,44540674
899590981,04/07:22:23,106,46595518
899591041,04/07:22:24,110,45908239
899591101,04/07:22:25,41,48207392
899591161,04/07:22:26,8,51869743
899591221,04/07:22:27,185,49257551
899591281,04/07:22:28,206,41368869
899591341,04/07:22:29,83,40242399
899591401,04/07:22:30,22,54657327
899591461,04/07:22:31,111,52882570
899591521,04/07:22:32,15,51237271
899591581,04/07:22:33,214,50740810
899591641,04/07:22:34,111,49626839
899591701,04/07:22:35,32,52394297
899591761,04/07:22:36,216,51127190
899591821,04/07:22:37,230,47355413
899591881,04/07:22:38,11,42656282
899591941,04/07:22:39,220,48182585
899592001,04/07:22:40,70,48623575
899592061,04/07:22:41,3,48333744
899592121,04/07:22:42,17,44074083
899592181,04/07:22:43,13,45366829
899592241,04/07:22:44,85,51380064
899592301,04/07:22:45,100,47544679
899592361,04/07:22:46,115,48859375
899592421,04/07:22:47,73,48879161
899592481,04/07:22:48,169,45159706
899592541,04/07:22:49,76,56566330
899592601,04/07:22:50,197,52168004
899592661,04/07:22:51,3,43061710
899592721,04/07:22:52,227,46980429
899592781,04/07:22:53,73,48806999
899592841,04/07:22:54,163,44044735
899592901,04/07:22:55,183,55411410
899592961,04/07:22:56,199,56165929
899593021,04/07:22:57,175,51462542
899593081,04/07:22:58,55,46522151
899593141,04/07:22:59,251,47416269
899593201,04/07:23:00,92,48701692
899593261,04/07:23:01,118,41348012
899593321,04/07:23:02,89,44133148
899593381,04/07:23:03,63,46625090
899593441,04/07:23:04,6,49244215
899593501,04/07:23:05,156,46160141
899593561,04/07:23:06,147,40462830
899593621,04/07:23:07,17,42794119
899593681,04/07:23:08,151,45427534
899593741,04/07:23:09,22,40102643
899593801,04/07:23:10,98,42368942
899593861,04/07:23:11,68,40667967
899593921,04/07:23:12,21,44603160
899593981,04/07:23:13,60,39199368
899594041,04/07:23:14,253,44623744
899594101,04/07:23:15,116,50067545
899594161,04/07:23:16,162,44811428
899594221,04/07:23:17,62,39593524
899594281,04/07:23:18,209,46052073
899594341,04/07:23:19,234,42891232
899594401,04/07:23:20,187,37881282
899594461,04/07:23:21,249,41158874
899594521,04/07:23:22,147,41791224
899594581,04/07:23:23,145,40826351
899594641,04/07:23:24,108,45649845
899594701,04/07:23:25,233,45613645
899594761,04/07:23:26,158,46367129
899594821,04/07:23:27,98,43956157
899594881,04/07:23:28,24,46492478
899594941,04/07:23:29,110,43904468
899595001,04/07:23:30,146,45242338
899595061,04/07:23:31,63,39160979
899595121,04/07:23:32,174,40553452
899595181,04/07:23:33,68,45827449
899595241,04/07:23:34,157,37291869
899595301,04/07:23:35,58,48518428
899595361,04/07:23:36,200,44304480
899595421,04/07:23:37,4,39144920
899595481,04/07:23:38,251,39443198
899595541,04/07:23:39,189,41129408
899595601,04/07:23:40,111,39503937
899595661,04/07:23:41,249,48216129
899595721,04/07:23:42,251,40003820
899595781,04/07:23:43,19,42275978
899595841,04/07:23:44,252,41286491
899595901,04/07:23:45,198,38130948
899595961,04/07:23:46,11,41466945
899596021,04/07:23:47,215,43966208
899596081,04/07:23:48,160,44188983
899596141,04/07:23:49,188,35667763
