900021661,09/07:22:01,87,34427409
900021721,09/07:22:02,50,28342303
900021781,09/07:22:03,192,24680530
900021841,09/07:22:04,202,28881626
900021901,09/07:22:05,5,35899650
900021961,09/07:22:06,16,27568020
900022021,09/07:22:07,105,30504723
900022081,09/07:22:08,110,27291398
900022141,09/07:22:09,240,27026356
900022201,09/07:22:10,84,23853101
900022261,09/07:22:11,1,34841631
900022321,09/07:22:12,164,29262155
900022381,09/07:22:13,236,28610597
900022441,09/07:22:14,40,29704015
900022501,09/07:22:15,11,27190406
900022561,09/07:22:16,166,28014006
900022621,09/07:22:17,19,28589607
900022681,09/07:22:18,58,27879524
900022741,09/07:22:19,30,32183371
900022801,09/07:22:20,141,27739980
900022861,09/07:22:21,158,24743974
900022921,09/07:22:22,121,27801730
900022981,09/07:22:23,128,22467806
900023041,09/07:22:24,84,27645318
900023101,09/07:22:25,6,27618824
900023161,09/07:22:26,105,27735979
900023221,09/07:22:27,108,25187090
900023281,09/07:22:28,24,32672329
900023341,09/07:22:29,216,34578232
900023401,09/07:22:30,196,37023020
900023461,09/07:22:31,99,30353899
900023521,09/07:22:32,37,29932223
900023581,09/07:22:33,155,34529485
900023641,09/07:22:34,225,33297471
900023701,09/07:22:35,64,32217151
900023761,09/07:22:36,198,29558036
900023821,09/07:22:37,2,28056528
900023881,09/07:22:38,40,36811616
900023941,09/07:22:39,244,30869087
900024001,09/07:22:40,137,31123486
900024061,09/07:22:41,147,24814001
900024121,09/07:22:42,243,29768782
900024181,09/07:22:43,14,27730546
900024241,09/07:22:44,57,29940364
900024301,09/07:22:45,178,27519313
900024361,09/07:22:46,208,26067606
900024421,09/07:22:47,248,25733996
900024481,09/07:22:48,199,22901478
900024541,09/07:22:49,167,24981425
900024601,09/07:22:50,215,25977403
900024661,09/07:22:51,113,32074358
900024721,09/07:22:52,194,26674537
900024781,09/07:22:53,157,27091034
900024841,09/07:22:54,84,23147928
900024901,09/07:22:55,164,23312898
900024961,09/07:22:56,67,27985143
900025021,09/07:22:57,184,22014340
900025081,09/07:22:58,171,24443063
900025141,09/07:22:59,247,24312477
900025201,09/07:23:00,218,24910852
900025261,09/07:23:01,100,24093949
900025321,09/07:23:02,89,26122285
900025381,09/07:23:03,36,28270071
900025441,09/07:23:04,218,23728265
900025501,09/07:23:05,62,26563543
900025561,09/07:23:06,122,24816825
900025621,09/07:23:07,171,22679762
900025681,09/07:23:08,43,26362211
900025741,09/07:23:09,233,25049843
900025801,09/07:23:10,177,28660380
900025861,09/07:23:11,143,25783054
900025921,09/07:23:12,151,24410682
900025981,09/07:23:13,246,23801239
900026041,09/07:23:14,103,26926624
900026101,09/07:23:15,75,29402901
900026161,09/07:23:16,226,23906175
900026221,09/07:23:17,218,27418493
900026281,09/07:23:18,123,25030912
900026341,09/07:23:19,102,24223886
900026401,09/07:23:20,155,30227327
900026461,09/07:23:21,168,27165223
900026521,09/07:23:22,85,23210244
900026581,09/07:23:23,199,25252595
900026641,09/07:23:24,31,22670029
900026701,09/07:23:25,50,20915166
900026761,09/07:23:26,104,22323826
900026821,09/07:23:27,138,22224436
900026881,09/07:23:28,73,25299041
900026941,09/07:23:29,54,22088792
900027001,09/07:23:30,78,23281899
900027061,09/07:23:31,79,34451484
900027121,09/07:23:32,182,26397366
900027181,09/07:23:33,254,25223745
900027241,09/07:23:34,209,33917862
900027301,09/07:23:35,13,30442877
900027361,09/07:23:36,230,25473073
900027421,09/07:23:37,40,24895072
900027481,09/07:23:38,196,28058635
900027541,09/07:23:39,166,27665613
900027601,09/07:23:40,161,31293577
900027661,09/07:23:41,224,34494252
900027721,09/07:23:42,98,27583959
900027781,09/07:23:43,139,25589265
900027841,09/07:23:44,2,23243990
900027901,09/07:23:45,140,22775435
900027961,09/07:23:46,222,23088663
900028021,09/07:23:47,57,26824872
900028081,09/07:23:48,71,26490300
900028141,09/07:23:49,57,32405367
900028201,09/07:23:50,209,25533937
900028261,09/07:23:51,25,27423174
900028321,09/07:23:52,62,25718395
900028381,09/07:23:53,206,23811932
900028441,09/07:23:54,245,25357276
900028501,09/07:23:55,219,24474987
900028561,09/07:23:56,31,23044176
900028621,09/07:23:57,7,24354946
900028681,09/07:23:58,36,25773989
900028741,09/07:23:59,44,32543166
900028801,10/07:00:00,29,23150178
900028861,10/07:00:01,112,28319923
900028921,10/07:00:02,144,27450095
900028981,10/07:00:03,153,22433153
900029041,10/07:00:04,36,22980042
900029101,10/07:00:05,239,28536074
