,time,arrival_rq
0,1970-01-01 08:02:00,1
1,1970-01-01 08:04:00,1
2,1970-01-01 08:06:00,0
3,1970-01-01 08:08:00,0
4,1970-01-01 08:10:00,0
5,1970-01-01 08:12:00,186
6,1970-01-01 08:14:00,2494
7,1970-01-01 08:16:00,1342
8,1970-01-01 08:18:00,286
9,1970-01-01 08:20:00,871
10,1970-01-01 08:22:00,324
11,1970-01-01 08:24:00,4492
12,1970-01-01 08:26:00,3376
13,1970-01-01 08:28:00,2370
14,1970-01-01 08:30:00,511
15,1970-01-01 08:32:00,306
16,1970-01-01 08:34:00,218
17,1970-01-01 08:36:00,6002
18,1970-01-01 08:38:00,6951
19,1970-01-01 08:40:00,176
20,1970-01-01 08:42:00,1518
21,1970-01-01 08:44:00,200
22,1970-01-01 08:46:00,1473
23,1970-01-01 08:48:00,2360
24,1970-01-01 08:50:00,163
25,1970-01-01 08:52:00,559
26,1970-01-01 08:54:00,1277
27,1970-01-01 08:56:00,415
28,1970-01-01 08:58:00,1237
29,1970-01-01 09:00:00,2273
30,1970-01-01 09:02:00,195
31,1970-01-01 09:04:00,157
32,1970-01-01 09:06:00,2346
33,1970-01-01 09:08:00,474
34,1970-01-01 09:10:00,1224
35,1970-01-01 09:12:00,2128
36,1970-01-01 09:14:00,1243
37,1970-01-01 09:16:00,254
38,1970-01-01 09:18:00,223
39,1970-01-01 09:20:00,283
40,1970-01-01 09:22:00,2545
41,1970-01-01 09:24:00,1786
42,1970-01-01 09:26:00,1456
43,1970-01-01 09:28:00,300
44,1970-01-01 09:30:00,333
45,1970-01-01 09:32:00,502
46,1970-01-01 09:34:00,111
47,1970-01-01 09:36:00,456
48,1970-01-01 09:38:00,1297
49,1970-01-01 09:40:00,224
50,1970-01-01 09:42:00,544
51,1970-01-01 09:44:00,1750
52,1970-01-01 09:46:00,409
53,1970-01-01 09:48:00,471
54,1970-01-01 09:50:00,318
55,1970-01-01 09:52:00,415
56,1970-01-01 09:54:00,1349
57,1970-01-01 09:56:00,317
58,1970-01-01 09:58:00,434
59,1970-01-01 10:00:00,329
60,1970-01-01 10:02:00,279
61,1970-01-01 10:04:00,197
62,1970-01-01 10:06:00,227
63,1970-01-01 10:08:00,878
64,1970-01-01 10:10:00,156
65,1970-01-01 10:12:00,862
66,1970-01-01 10:14:00,144
67,1970-01-01 10:16:00,317
68,1970-01-01 10:18:00,1270
69,1970-01-01 10:20:00,2343
70,1970-01-01 10:22:00,250
71,1970-01-01 10:24:00,1689
72,1970-01-01 10:26:00,691
73,1970-01-01 10:28:00,1011
74,1970-01-01 10:30:00,739
75,1970-01-01 10:32:00,394
76,1970-01-01 10:34:00,212
77,1970-01-01 10:36:00,387
78,1970-01-01 10:38:00,740
79,1970-01-01 10:40:00,159
80,1970-01-01 10:42:00,551
81,1970-01-01 10:44:00,311
82,1970-01-01 10:46:00,280
83,1970-01-01 10:48:00,688
84,1970-01-01 10:50:00,1445
85,1970-01-01 10:52:00,901
86,1970-01-01 10:54:00,234
87,1970-01-01 10:56:00,343
88,1970-01-01 10:58:00,178
89,1970-01-01 11:00:00,1479
90,1970-01-01 11:02:00,417
91,1970-01-01 11:04:00,753
92,1970-01-01 11:06:00,279
93,1970-01-01 11:08:00,239
94,1970-01-01 11:10:00,311
95,1970-01-01 11:12:00,708
96,1970-01-01 11:14:00,188
97,1970-01-01 11:16:00,368
98,1970-01-01 11:18:00,195
99,1970-01-01 11:20:00,629
100,1970-01-01 11:22:00,1483
101,1970-01-01 11:24:00,334
102,1970-01-01 11:26:00,471
103,1970-01-01 11:28:00,11132
104,1970-01-01 11:30:00,809
105,1970-01-01 11:32:00,1303
106,1970-01-01 11:34:00,1092
107,1970-01-01 11:36:00,633
108,1970-01-01 11:38:00,506
109,1970-01-01 11:40:00,1615
110,1970-01-01 11:42:00,1776
111,1970-01-01 11:44:00,2548
112,1970-01-01 11:46:00,1026
113,1970-01-01 11:48:00,381
114,1970-01-01 11:50:00,2783
115,1970-01-01 11:52:00,897
116,1970-01-01 11:54:00,1918
117,1970-01-01 11:56:00,1667
118,1970-01-01 11:58:00,2181
